File,UR,Test Time
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022459_26Oct2023100025.mat,0.7991158988673365,2023-10-26 10:00:25
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022508_27Oct2023080746.mat,0.8893240902354848,2023-10-27 08:07:46
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022522_31Oct2023131045.mat,0.7790303218311907,2023-10-31 13:10:45
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022533_01Nov2023053206.mat,0.7652899462012934,2023-11-01 05:32:06
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022539_01Nov2023060248.mat,0.7997641367309747,2023-11-01 06:02:48
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022543_01Nov2023061910.mat,0.8889938319866825,2023-11-01 06:19:10
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022544_01Nov2023062621.mat,0.7709951668520865,2023-11-01 06:26:21
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022558_01Nov2023072901.mat,0.8480536290815258,2023-11-01 07:29:01
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022569_01Nov2023085416.mat,0.6240710680065585,2023-11-01 08:54:16
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022572_01Nov2023090811.mat,0.7451640816541771,2023-11-01 09:08:11
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022581_01Nov2023094413.mat,0.7955798989867556,2023-11-01 09:44:13
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022582_01Nov2023094918.mat,0.8093860202179006,2023-11-01 09:49:18
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4110_022620_03Nov2023111048.mat,0.8490063131117008,2023-11-03 11:10:48
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4110_022622_03Nov2023112726.mat,0.8202820166323818,2023-11-03 11:27:26
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4110_022631_03Nov2023125652.mat,0.7406351815050981,2023-11-03 12:56:52
